,text,original,generated
631,"And the children first, and the children
",0,0
632,"Eight men play God right next to your country
",0,0
633,"My cinnamon girl
",0,0
634,"Went off the roof still walking
",0,0
635,"The sweet-faced ones with nothing left inside
",0,0
636,"As you guessed
",0,0
637,"And it wears him out
",0,0
638,"Aeroplane, do I mean what I mean?
",0,0
639,"Hey
",0,0
640,"Disappointing and
",0,0
641,"Trickster is meaningless, trickster is weak
",0,0
642,"Pieces missing everywhere
",0,0
643,"Up, up, alright
",0,0
644,"Your futures bleak, youre so last week
",0,0
645,"Ooooohhhh, woah woah
",0,0
646,"It never ends
",0,0
647,"You can crush it as dry as a bone
",0,0
648,"The words are coming out all weird
",0,0
649,"Oh my, oh my
",0,0
650,"When the walls bend, when the walls bend
",0,0
651,"My car always a winner
",0,0
652,"Dont know why I
",0,0
653,"The raindrops
",0,0
654,"Is there mumbling?
",0,0
655,"I wanted you so bad, that I couldnt say
",0,0
656,"Outstepping
",0,0
657,"And it cant escape what it’s found
",0,0
658,"Dodging a bullet
",0,0
659,"Your alarm bells, your alarm
",0,0
660,"And it wears me out
",0,0
661,"Open up, begin again
",0,0
662,"Your final belly ache with
",0,0
663,"Even though what you mean
",0,0
664,"Did your string come undone?
",0,0
665,"With no ripcord, no ripcord
",0,0
666,"Whatever happened to your dreams and aspirations, blud?
",0,0
667,"All be mend 
",0,0
668,"MDMA, LSD, amphetamines and
",0,0
669,"Watch me dance, Im a puppet
",0,0
670,"Just a laugh, just a laugh
",0,0
671,"Picked over by the worms
",0,0
672,"Youre so very special
",0,0
673,"That beams me home
",0,0
674,"Heres the detective
",0,0
675,"Shoo
",0,0
676,"Will blow
",0,0
677,"Cant take it with you
",0,0
678,"There was no future left at all
",0,0
679,"Thank you
",0,0
680,"Dressed in bishops robes
",0,0
681,"Howling down the chimney
",0,0
682,"And he grabs and devours
",0,0
683,"Teeth beat down so what
",0,0
684,"Born and raised for the job
",0,0
685,"Nothings gonna happen without warning
",0,0
686,"And I burn all hate
",0,0
687,"So glad, so glad youre mine
",0,0
688,"But I cant help the feeling
",0,0
689,"You can pack it all up
",0,0
690,"I wish youd
",0,0
691,"Fifteen steps, then a sheer drop
",0,0
692,"And nobody does it better
",0,0
693,"Oh, go and tell the king
",0,0
694,"When we realise that once were broke then nothing mends
",0,0
695,"You got concrete eyes
",0,0
696,"Cause these streets will have you up just when you least expect it
",0,0
697,"When you fly with us
",0,0
698,"Gone until youre only 
",0,0
699,"Dont leave me dry
",0,0
700,"I want a perfect body,
",0,0
701,"The day the banks collapsed on us
",0,0
702,"To drive your stupid car
",0,0
703,"Holding on
",0,0
704,"I did
",0,0
705,"Give me a Goddamn good, reason
",0,0
706,"The darks there
",0,0
707,"You fell into our, you fell into our...
",0,0
708,"Make it 
",0,0
709,"Spinning around as you gaze at the sun
",0,0
710,"In a town full of rubber plants
",0,0
711,"Mining ores
",0,0
712,"Ghost horses
",0,0
713,"Up on the ladder, try to call out your name
",0,0
714,"They wont ever take me alive
",0,0
715,"Don’t waste all your days
",0,0
716,"Los fragmentos
",0,0
717,"I follow to the edge 
",0,0
718,"Never look back
",0,0
719,"Leaving it on a nose
",0,0
720,"The yuppies networking 
",0,0
721,"A frightening place, the faces are concrete grey
",0,0
722,"Into your darkest hour
",0,0
723,"My illusions 
",0,0
724,"All blurring into one
",0,0
725,"Im stuck in the TARDIS
",0,0
726,"Up on the ladder we wait for your mistake
",0,0
727,"I just want a cupboard monster
",0,0
728,"Just to see what is
",0,0
729,"To steal you away
",0,0
730,"The pot is full of secrets to be told
",0,0
731,"From a long and vivid dream 
",0,0
732,"So when it gets dark
",0,0
733,"Do we really need to?
",0,0
734,"Wont let the creeping ivy
",0,0
735,"Youre always complaining
",0,0
736,"Please can you stop the noise, Im trying to get some rest
",0,0
737,"If it matters to you
",0,0
738,"Before youre comatose
",0,0
739,"But now I dont know why I feel so tongue-tied
",0,0
740,"Only only only only only only only only only only...
",0,0
741,"Two jumps in a week, I bet you
",0,0
742,"Rearrange my mind
",0,0
743,"Against the present, against the present
",0,0
744,"We should have shared that others fate.
",0,0
745,"I hold my peace
",0,0
746,"But we lie in wait
",0,0
747,"Alone on an airplane
",0,0
748,"Dont forget that you are our son
",0,0
749,"But Im a creep, ooh
",0,0
750,"At least I didnt
",0,0
751,"Phew, for a minute thеre
",0,0
752,"Id snap hard back at you
",0,0
753,"Wed be a walking disaster
",0,0
754,"On videotape, on videotape, on videotape...
",0,0
755,"Oh, oh
",0,0
756,"Everyone has got the fear
",0,0
757,"Limb by limb and tooth by tooth
",0,0
